date,Average
20190408,9
20190409,9.1
20190410,9.2
20190411,9.3
20190412,9.3
20190413,9.4
20190414,9.5
20190415,9.6
20190416,9.7
20190417,9.8
20190418,9.9
20190419,10
20190420,10.1
20190421,10.2
20190422,10.3
20190423,10.4
20190424,10.5
20190425,10.7
20190426,10.8
20190427,10.9
20190428,11
20190429,11.1
20190430,11.2
20190501,11.3
20190502,11.4
20190503,11.5
20190504,11.7
20190505,11.8
20190506,11.9
20190507,12
20190508,12.1
20190509,12.2
20190510,12.3
20190511,12.4
20190512,12.5
20190513,12.6
20190514,12.7
20190515,12.8
20190516,12.9
20190517,13
20190518,13.1
20190519,13.2
20190520,13.3
20190521,13.4
20190522,13.5
20190523,13.6
20190524,13.7
20190525,13.8
20190526,13.9
20190527,14
20190528,14.1
20190529,14.1
20190530,14.2
20190531,14.3
20190601,14.4
20190602,14.5
20190603,14.6
20190604,14.7
20190605,14.8
20190606,14.9
20190607,15
20190608,15
20190609,15.1
20190610,15.2
20190611,15.3
20190612,15.4
20190613,15.5
20190614,15.6
20190615,15.7
20190616,15.7
20190617,15.8
20190618,15.9
20190619,16
20190620,16.1
20190621,16.1
20190622,16.2
20190623,16.3
20190624,16.4
20190625,16.4
20190626,16.5
20190627,16.6
20190628,16.6
20190629,16.7
20190630,16.8
20190701,16.8
20190702,16.9
20190703,16.9
20190704,17
20190705,17.1
20190706,17.1
20190707,17.2
20190708,17.3
20190709,17.3
20190710,17.4
20190711,17.5
20190712,17.5
20190713,17.6
20190714,17.6
20190715,17.7
20190716,17.8
20190717,17.8
20190718,17.9
20190719,17.9
20190720,18
20190721,18
20190722,18.1
20190723,18.1
20190724,18.1
20190725,18.1
20190726,18.2
20190727,18.2
20190728,18.2
20190729,18.2
20190730,18.2
20190731,18.2
20190801,18.2
20190802,18.2
20190803,18.1
20190804,18.1
20190805,18.1
20190806,18.1
20190807,18
20190808,18
20190809,17.9
20190810,17.9
20190811,17.9
20190812,17.8
20190813,17.8
20190814,17.7
20190815,17.7
20190816,17.6
20190817,17.5
20190818,17.5
20190819,17.4
20190820,17.4
20190821,17.3
20190822,17.2
20190823,17.1
20190824,17.1
20190825,17
20190826,16.9
20190827,16.8
20190828,16.7
20190829,16.7
20190830,16.6
20190831,16.5
20190901,16.4
20190902,16.3
20190903,16.2
20190904,16.1
20190905,16
20190906,15.9
20190907,15.9
20190908,15.8
20190909,15.7
20190910,15.6
20190911,15.5
20190912,15.4
20190913,15.3
20190914,15.2
20190915,15.1
20190916,15
20190917,14.9
20190918,14.8
20190919,14.7
20190920,14.6
20190921,14.5
20190922,14.4
20190923,14.3
20190924,14.2
20190925,14.1
20190926,14
20190927,13.9
20190928,13.8
20190929,13.7
20190930,13.6
20191001,13.5
20191002,13.4
20191003,13.2
20191004,13.1
20191005,13
20191006,12.9
20191007,12.8
20191008,12.7
20191009,12.5
20191010,12.4
20191011,12.3
20191012,12.2
20191013,12.1
20191014,12
20191015,11.9
20191016,11.8
20191017,11.7
20191018,11.6
20191019,11.5
20191020,11.4
20191021,11.3
20191022,11.2
20191023,11.1
20191024,11
20191025,10.9
20191026,10.8
20191027,11.6
20191028,11.5
20191029,11.3
20191030,11.2
20191031,11
20191101,10.9
20191102,10.7
20191103,10.5
20191104,10.4
20191105,10.2
20191106,10
20191107,9.8
20191108,9.7
20191109,9.5
20191110,9.3
20191111,9.2
20191112,9
20191113,8.9
20191114,8.7
20191115,8.5
20191116,8.4
20191117,8.2
20191118,8.1
20191119,8
20191120,7.8
20191121,7.7
20191122,7.6
20191123,7.5
20191124,7.4
20191125,7.3
20191126,7.3
20191127,7.2
20191128,7.1
20191129,7
20191130,6.9
20191201,6.9
20191202,6.8
20191203,6.7
20191204,6.6
20191205,6.5
20191206,6.4
20191207,6.3
20191208,6.2
20191209,6.1
20191210,6
20191211,6
20191212,5.9
20191213,5.8
20191214,5.8
20191215,5.8
20191216,5.8
20191217,5.8
20191218,5.8
20191219,5.8
20191220,5.8
20191221,5.8
20191222,5.8
20191223,5.9
20191224,5.9
20191225,5.9
20191226,5.9
20191227,5.9
20191228,5.9
20191229,5.9
20191230,6
20191231,6
20200101,5.8
20200102,5.9
20200103,5.9
20200104,5.9
20200105,5.9
20200106,5.9
20200107,5.9
20200108,5.9
20200109,5.9
20200110,5.9
20200111,5.9
20200112,5.9
20200113,5.9
20200114,5.8
20200115,5.8
20200116,5.8
20200117,5.7
20200118,5.7
20200119,5.6
20200120,5.6
20200121,5.5
20200122,5.5
20200123,5.4
20200124,5.4
20200125,5.4
20200126,5.4
20200127,5.4
20200128,5.3
20200129,5.4
20200130,5.4
20200131,5.4
20200201,5.4
20200202,5.4
20200203,5.5
20200204,5.5
20200205,5.5
20200206,5.6
20200207,5.6
20200208,5.6
20200209,5.7
20200210,5.7
20200211,5.7
20200212,5.8
20200213,5.8
20200214,5.9
20200215,5.9
20200216,6
20200217,6.1
20200218,6.1
20200219,6.2
20200220,6.3
20200221,6.3
20200222,6.4
20200223,6.5
20200224,6.6
20200225,6.6
20200226,6.7
20200227,6.8
20200228,6.9
20200229,6.9
20200301,7
20200302,7.1
20200303,7.2
20200304,7.3
20200305,7.4
20200306,7.5
20200307,7.6
20200308,7.7
20200309,7.8
20200310,7.9
20200311,8
20200312,8.1
20200313,8.2
20200314,8.3
20200315,8.4
20200316,8.5
20200317,8.6
20200318,8.7
20200319,8.8
20200320,8.8
20200321,8.9
20200322,9
20200323,9
20200324,9.1
20200325,9.2
20200326,9.2
20200327,9.3
20200328,9.4
20200329,8.4
20200330,8.5
20200331,8.5
20200401,8.6
20200402,8.7
20200403,8.8
20200404,8.8
20200405,8.9
20200406,9
20200407,9.1
20200408,9.1
20200409,9.2
20200410,9.3
20200411,9.4
20200412,9.5
20200413,9.6
20200414,9.6
20200415,9.7
20200416,9.8
20200417,9.9
20200418,10
20200419,10.1
20200420,10.3
20200421,10.4
20200422,10.5
20200423,10.6
20200424,10.7
20200425,10.8
20200426,10.9
20200427,11
20200428,11.1
20200429,11.2
20200430,11.3
20200501,11.4
20200502,11.5
20200503,11.6
20200504,11.7
20200505,11.8
20200506,11.9
20200507,12
20200508,12.1
20200509,12.2
20200510,12.3
20200511,12.4
20200512,12.5
20200513,12.7
20200514,12.8
20200515,12.9
20200516,13
20200517,13.1
20200518,13.2
20200519,13.3
20200520,13.4
20200521,13.5
20200522,13.6
20200523,13.7
20200524,13.8
20200525,13.9
20200526,14
20200527,14.1
20200528,14.2
20200529,14.3
20200530,14.3
20200531,14.4
20200601,14.5
20200602,14.6
20200603,14.7
20200604,14.8
20200605,14.9
20200606,14.9
20200607,15
20200608,15.1
20200609,15.2
20200610,15.3
20200611,15.3
20200612,15.4
20200613,15.5
20200614,15.6
20200615,15.7
20200616,15.8
20200617,15.8
20200618,15.9
20200619,16
20200620,16.1
20200621,16.2
20200622,16.2
20200623,16.3
20200624,16.4
20200625,16.5
20200626,16.5
20200627,16.6
