,Date,Period,EpexHourly,SpotPrice,SystemPrice,ImbalanceVolume,Temp,NextSystemPrice
0,08/04/2019,1,33.41,40.45,52.25,195.4258,9.0,51.9
1,08/04/2019,2,33.41,43.69,51.9,62.2486,9.0,32.76
2,08/04/2019,3,41.03,46.13,32.76,-40.7968,9.0,50.85
3,08/04/2019,4,41.03,43.96,50.85,22.6933,9.0,51.4
4,08/04/2019,5,39.0,44.36,51.4,186.5092,9.0,50.85
5,08/04/2019,6,39.0,40.01,50.85,98.2478,9.0,50.85
6,08/04/2019,7,36.89,39.93,50.85,45.6794,9.0,51.4
7,08/04/2019,8,36.89,41.78,51.4,49.631,9.0,51.4
8,08/04/2019,9,48.54,53.18,51.4,27.8218,9.0,50.5
9,08/04/2019,10,48.54,51.22,50.5,46.7635,9.0,55.83
10,08/04/2019,11,52.37,47.05,55.83,321.1044,9.0,55.55
11,08/04/2019,12,52.37,42.7,55.55,200.4168,9.0,56.5
12,08/04/2019,13,52.83,39.09,56.5,52.688,9.0,32.9
13,08/04/2019,14,52.83,60.8,32.9,-394.5671,9.0,33.5
14,08/04/2019,15,59.45,64.96,33.5,-337.998,9.0,59.89
15,08/04/2019,16,59.45,64.37,59.89,186.9907,9.0,76.0
16,08/04/2019,17,62.0,70.85,76.0,172.496,9.0,77.0
17,08/04/2019,18,62.0,67.47,77.0,233.8473,9.0,76.0
18,08/04/2019,19,57.0,69.15,76.0,183.5916,9.0,85.0
19,08/04/2019,20,57.0,63.57,85.0,230.6793,9.0,85.0
20,08/04/2019,21,51.89,54.2,85.0,273.9188,9.0,38.5
21,08/04/2019,22,51.89,48.25,38.5,-11.6488,9.0,32.71
22,08/04/2019,23,46.0,56.27,32.71,-16.1426,9.0,90.0
23,08/04/2019,24,46.0,52.12,90.0,125.7333,9.0,34.27
24,08/04/2019,25,40.3,42.93,34.27,-46.3055,9.0,32.71
25,08/04/2019,26,40.3,33.12,32.71,-199.8599,9.0,32.65
26,08/04/2019,27,39.27,33.53,32.65,-312.3174,9.0,32.71
27,08/04/2019,28,39.27,35.03,32.71,-357.4854,9.0,32.65
28,08/04/2019,29,39.7,35.14,32.65,-206.0857,9.0,32.65
29,08/04/2019,30,39.7,36.09,32.65,-159.7921,9.0,32.65
30,08/04/2019,31,41.3,36.55,32.65,-191.253,9.0,32.5
31,08/04/2019,32,41.3,39.22,32.5,-97.1463,9.0,32.55498
32,08/04/2019,33,54.99,42.25,32.55498,-342.7202,9.0,34.31
33,08/04/2019,34,54.99,46.17,34.31,-307.2806,9.0,34.32
34,08/04/2019,35,57.54,44.44,34.32,-273.9169,9.0,34.61
35,08/04/2019,36,57.54,47.74,34.61,-108.3283,9.0,35.15
36,08/04/2019,37,58.0,51.04,35.15,-6.3393,9.0,35.15
37,08/04/2019,38,58.0,52.08,35.15,-17.6034,9.0,35.15
38,08/04/2019,39,60.1,60.42,35.15,-29.3829,9.0,71.03314
39,08/04/2019,40,60.1,49.14,71.03314,143.2224,9.0,76.0
40,08/04/2019,41,41.31,45.01,76.0,216.9261,9.0,35.18
41,08/04/2019,42,41.31,42.19,35.18,-41.06,9.0,35.18
42,08/04/2019,43,40.0,43.4,35.18,-39.7874,9.0,52.0
43,08/04/2019,44,40.0,43.98,52.0,38.5701,9.0,55.0
44,08/04/2019,45,42.0,49.15,55.0,509.457,9.0,55.0
45,08/04/2019,46,42.0,43.72,55.0,745.2,9.0,53.0
46,08/04/2019,47,36.44,47.03,53.0,716.0929,9.0,50.5
47,08/04/2019,48,36.44,41.51,50.5,576.2157,9.0,49.88
48,09/04/2019,1,36.47,39.5,49.88,191.8205,9.1,50.0
49,09/04/2019,2,36.47,49.28,50.0,58.4353,9.1,50.0
50,09/04/2019,3,43.92,49.24,50.0,22.1489,9.1,50.0
51,09/04/2019,4,43.92,46.61,50.0,300.4548,9.1,50.25
52,09/04/2019,5,39.53,42.72,50.25,345.7249,9.1,50.0
53,09/04/2019,6,39.53,37.39,50.0,107.3168,9.1,33.1
54,09/04/2019,7,36.48,38.39,33.1,-100.3667,9.1,33.1
55,09/04/2019,8,36.48,39.19,33.1,-235.8501,9.1,33.1
56,09/04/2019,9,41.87,42.31,33.1,-107.4251,9.1,43.11
57,09/04/2019,10,41.87,44.45,43.11,-97.8238,9.1,45.37
58,09/04/2019,11,45.87,46.13,45.37,-37.1916,9.1,49.75
59,09/04/2019,12,45.87,38.63,49.75,126.7388,9.1,50.0
60,09/04/2019,13,46.5,39.67,50.0,313.1982,9.1,34.2
61,09/04/2019,14,46.5,49.4,34.2,-172.9743,9.1,34.2
62,09/04/2019,15,49.96,40.84,34.2,-349.8657,9.1,52.29
63,09/04/2019,16,49.96,40.35,52.29,103.9328,9.1,34.69
64,09/04/2019,17,57.49,52.12,34.69,-58.503,9.1,37.80727
65,09/04/2019,18,57.49,43.62,37.80727,160.9645,9.1,37.8
66,09/04/2019,19,56.2,35.62,37.8,113.6086,9.1,34.6
67,09/04/2019,20,56.2,37.14,34.6,-16.5388,9.1,25.0
68,09/04/2019,21,50.0,42.3,25.0,-346.7992,9.1,25.0
69,09/04/2019,22,50.0,36.98,25.0,-257.2668,9.1,25.0
70,09/04/2019,23,45.6,34.91,25.0,-217.956,9.1,25.0
71,09/04/2019,24,45.6,40.1,25.0,-131.9793,9.1,25.0
72,09/04/2019,25,39.24,47.36,25.0,-113.0292,9.1,55.0
73,09/04/2019,26,39.24,45.9,55.0,384.5124,9.1,55.0
74,09/04/2019,27,38.83,47.65,55.0,427.5883,9.1,55.0
75,09/04/2019,28,38.83,43.1,55.0,307.7674,9.1,52.0
76,09/04/2019,29,39.13,34.5,52.0,180.8119,9.1,50.8
77,09/04/2019,30,39.13,34.6,50.8,15.2244,9.1,35.26
78,09/04/2019,31,50.0,39.13,35.26,-96.9434,9.1,35.25
79,09/04/2019,32,50.0,40.54,35.25,-166.4548,9.1,50.75
80,09/04/2019,33,60.0,39.94,50.75,85.0787,9.1,35.1
81,09/04/2019,34,60.0,39.29,35.1,-19.2595,9.1,0.0
82,09/04/2019,35,58.0,35.63,0.0,-328.3582,9.1,25.0
83,09/04/2019,36,58.0,42.82,25.0,-213.6016,9.1,25.0
84,09/04/2019,37,58.0,45.53,25.0,-151.0673,9.1,50.0
85,09/04/2019,38,58.0,53.87,50.0,40.4639,9.1,35.28
86,09/04/2019,39,58.2,60.18,35.28,-233.0105,9.1,35.35
87,09/04/2019,40,58.2,46.22,35.35,-185.4806,9.1,35.28
88,09/04/2019,41,48.0,49.38,35.28,-267.2638,9.1,35.1
89,09/04/2019,42,48.0,40.57,35.1,-172.4009,9.1,35.1
90,09/04/2019,43,41.0,40.85,35.1,-261.786,9.1,25.0
91,09/04/2019,44,41.0,42.1,25.0,-541.9146,9.1,25.0
92,09/04/2019,45,41.87,45.89,25.0,-195.4881,9.1,45.0
93,09/04/2019,46,41.87,50.78,45.0,4.5345,9.1,51.69
94,09/04/2019,47,38.31,36.85,51.69,146.4174,9.1,34.6
95,09/04/2019,48,38.31,35.76,34.6,-334.2901,9.1,37.68
96,10/04/2019,1,39.01,37.45,37.68,-345.8696,9.2,37.69
97,10/04/2019,2,39.01,44.01,37.69,-276.4222,9.2,38.11
98,10/04/2019,3,39.8,41.68,38.11,-20.1751,9.2,50.6
99,10/04/2019,4,39.8,42.05,50.6,239.682,9.2,38.17
100,10/04/2019,5,42.08,39.15,38.17,-37.5722,9.2,35.1
101,10/04/2019,6,42.08,38.24,35.1,-104.0314,9.2,34.6
102,10/04/2019,7,39.6,39.39,34.6,-209.5666,9.2,34.6
103,10/04/2019,8,39.6,36.83,34.6,-196.0833,9.2,31.92
104,10/04/2019,9,45.01,44.68,31.92,-167.4843,9.2,31.92
105,10/04/2019,10,45.01,48.52,31.92,-144.584,9.2,35.6
106,10/04/2019,11,48.27,56.08,35.6,-11.3438,9.2,54.9
107,10/04/2019,12,48.27,43.64,54.9,197.836,9.2,59.0
108,10/04/2019,13,51.45,36.36,59.0,656.5559,9.2,55.2
109,10/04/2019,14,51.45,56.12,55.2,277.1598,9.2,35.5
110,10/04/2019,15,60.9,59.06,35.5,-16.8738,9.2,89.5
111,10/04/2019,16,60.9,58.9,89.5,314.7831,9.2,98.0
112,10/04/2019,17,58.2,65.26,98.0,562.0179,9.2,89.0
113,10/04/2019,18,58.2,55.22,89.0,511.2433,9.2,87.5
114,10/04/2019,19,52.0,52.03,87.5,477.5423,9.2,89.0
115,10/04/2019,20,52.0,54.09,89.0,379.394,9.2,84.0
116,10/04/2019,21,46.3,60.54,84.0,159.6517,9.2,35.1
117,10/04/2019,22,46.3,49.38,35.1,-76.6918,9.2,61.5
118,10/04/2019,23,40.49,42.98,61.5,140.8393,9.2,49.5
119,10/04/2019,24,40.49,43.45,49.5,71.5857,9.2,36.03
120,10/04/2019,25,39.08,42.07,36.03,-147.8842,9.2,35.1
121,10/04/2019,26,39.08,38.13,35.1,-237.2219,9.2,35.1
122,10/04/2019,27,38.98,38.39,35.1,-584.8853,9.2,28.75104
123,10/04/2019,28,38.98,36.1,28.75104,-741.5301,9.2,23.0
124,10/04/2019,29,40.0,33.64,23.0,-613.4588,9.2,23.0
125,10/04/2019,30,40.0,33.9,23.0,-628.3267,9.2,26.94443
126,10/04/2019,31,42.62,35.69,26.94443,-773.6234,9.2,10.0
127,10/04/2019,32,42.62,37.01,10.0,-629.874,9.2,35.6
128,10/04/2019,33,55.65,44.07,35.6,-635.8987,9.2,36.11
129,10/04/2019,34,55.65,49.91,36.11,-198.416,9.2,36.05
130,10/04/2019,35,63.0,52.66,36.05,-237.5921,9.2,36.16
131,10/04/2019,36,63.0,61.85,36.16,-42.3959,9.2,36.13
132,10/04/2019,37,65.7,62.36,36.13,-229.1456,9.2,36.16
133,10/04/2019,38,65.7,69.2,36.16,-80.9496,9.2,36.16
134,10/04/2019,39,67.0,75.9,36.16,-62.0425,9.2,75.5
135,10/04/2019,40,67.0,72.38,75.5,91.0611,9.2,85.0
136,10/04/2019,41,56.57,67.02,85.0,286.5697,9.2,75.5
137,10/04/2019,42,56.57,59.82,75.5,31.8915,9.2,55.02
138,10/04/2019,43,41.0,45.49,55.02,16.0806,9.2,38.71514
139,10/04/2019,44,41.0,42.82,38.71514,5.276,9.2,36.16
140,10/04/2019,45,44.08,41.6,36.16,-435.1056,9.2,36.0
141,10/04/2019,46,44.08,39.74,36.0,-755.5191,9.2,25.0
142,10/04/2019,47,40.0,36.53,25.0,-493.7726,9.2,35.37462
143,10/04/2019,48,40.0,35.85,35.37462,-344.4047,9.2,10.0
144,11/04/2019,1,39.99,33.29,10.0,-308.2141,9.3,29.98
145,11/04/2019,2,39.99,39.94,29.98,-280.2815,9.3,29.98
146,11/04/2019,3,40.99,38.17,29.98,-202.2476,9.3,36.16938
147,11/04/2019,4,40.99,38.09,36.16938,-8.3946,9.3,29.51
148,11/04/2019,5,41.55,31.95,29.51,-214.6519,9.3,29.51
149,11/04/2019,6,41.55,33.57,29.51,-156.9732,9.3,30.01
150,11/04/2019,7,41.14,35.22,30.01,-730.9443,9.3,30.01
151,11/04/2019,8,41.14,34.91,30.01,-344.9857,9.3,31.53
152,11/04/2019,9,44.95,33.17,31.53,-87.2167,9.3,31.53
153,11/04/2019,10,44.95,37.25,31.53,-102.15,9.3,34.6
154,11/04/2019,11,51.3,34.99,34.6,-534.7846,9.3,36.25
155,11/04/2019,12,51.3,34.8,36.25,-400.3904,9.3,36.26
156,11/04/2019,13,61.0,41.64,36.26,-293.7583,9.3,36.26
157,11/04/2019,14,61.0,41.66,36.26,-54.3971,9.3,36.1
158,11/04/2019,15,65.0,45.7,36.1,-566.8913,9.3,36.11
159,11/04/2019,16,65.0,49.91,36.11,-315.5504,9.3,78.33
160,11/04/2019,17,62.49,53.25,78.33,21.1488,9.3,36.12
161,11/04/2019,18,62.49,41.69,36.12,-236.4931,9.3,36.26
162,11/04/2019,19,57.8,39.55,36.26,-72.1369,9.3,34.6
163,11/04/2019,20,57.8,38.61,34.6,-449.691,9.3,35.1
164,11/04/2019,21,49.2,40.31,35.1,-389.9102,9.3,36.11
165,11/04/2019,22,49.2,42.47,36.11,-375.177,9.3,36.12
166,11/04/2019,23,44.75,43.33,36.12,-47.9864,9.3,36.2
167,11/04/2019,24,44.75,41.42,36.2,-111.0611,9.3,36.12
168,11/04/2019,25,42.75,36.65,36.12,-264.918,9.3,35.11
169,11/04/2019,26,42.75,35.8,35.11,-676.0238,9.3,35.11
170,11/04/2019,27,42.0,36.0,35.11,-560.3377,9.3,35.11
171,11/04/2019,28,42.0,36.86,35.11,-617.7599,9.3,35.11
172,11/04/2019,29,42.2,35.46,35.11,-501.6036,9.3,35.11
173,11/04/2019,30,42.2,35.73,35.11,-507.9386,9.3,35.11
174,11/04/2019,31,44.6,36.3,35.11,-632.8462,9.3,35.11
175,11/04/2019,32,44.6,37.51,35.11,-479.3222,9.3,35.4
176,11/04/2019,33,62.44,37.95,35.4,-498.038,9.3,35.1
177,11/04/2019,34,62.44,38.79,35.1,-512.1396,9.3,34.65
178,11/04/2019,35,68.0,36.18,34.65,-734.0361,9.3,35.68
179,11/04/2019,36,68.0,42.24,35.68,-284.447,9.3,0.0
180,11/04/2019,37,71.2,51.61,0.0,-464.9687,9.3,36.3
181,11/04/2019,38,71.2,59.31,36.3,-40.6802,9.3,69.0
182,11/04/2019,39,74.1,62.65,69.0,19.5401,9.3,36.31
183,11/04/2019,40,74.1,53.87,36.31,-69.7157,9.3,69.0
184,11/04/2019,41,60.2,54.47,69.0,29.4587,9.3,36.31
185,11/04/2019,42,60.2,48.75,36.31,-63.8638,9.3,69.0
186,11/04/2019,43,44.13,42.1,69.0,59.2935,9.3,36.31
187,11/04/2019,44,44.13,41.38,36.31,-5.676,9.3,36.31
188,11/04/2019,45,45.1,37.06,36.31,-66.3931,9.3,36.31
189,11/04/2019,46,45.1,37.3,36.31,-53.0631,9.3,82.0
190,11/04/2019,47,37.6,43.49,82.0,210.4952,9.3,56.0
191,11/04/2019,48,37.6,33.37,56.0,155.3658,9.3,50.2
192,12/04/2019,1,37.59,38.14,50.2,21.9436,9.3,36.13705
193,12/04/2019,2,37.59,38.76,36.13705,-314.3943,9.3,31.25
194,12/04/2019,3,37.6,36.54,31.25,-291.7441,9.3,31.03
195,12/04/2019,4,37.6,38.24,31.03,-228.0666,9.3,31.5
196,12/04/2019,5,37.6,43.29,31.5,-59.4803,9.3,31.5
197,12/04/2019,6,37.6,42.22,31.5,-78.1116,9.3,49.95
198,12/04/2019,7,37.4,41.13,49.95,147.1273,9.3,49.88
199,12/04/2019,8,37.4,39.16,49.88,39.3793,9.3,49.9
200,12/04/2019,9,43.93,41.25,49.9,102.2599,9.3,49.85
201,12/04/2019,10,43.93,38.58,49.85,24.262,9.3,36.35
202,12/04/2019,11,52.38,44.38,36.35,-176.2347,9.3,36.36
203,12/04/2019,12,52.38,44.94,36.36,-93.5782,9.3,54.74064
204,12/04/2019,13,58.0,44.75,54.74064,47.4906,9.3,55.15
205,12/04/2019,14,58.0,63.09,55.15,127.4429,9.3,36.25
206,12/04/2019,15,61.6,66.38,36.25,-385.5925,9.3,36.31
207,12/04/2019,16,61.6,56.78,36.31,-311.7953,9.3,36.32
208,12/04/2019,17,58.94,52.05,36.32,-114.6752,9.3,36.37
209,12/04/2019,18,58.94,47.29,36.37,-33.422,9.3,36.4
